FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,Region_rb,DPA_rb,Start_rb,Cause_rb,County_rb,County2_rb,County3_rb,DPA2_rb,Firefighte,Total_dama,OID_,Fire_rb,Expect_shp,Ranger_rb,Ranger2_rb,Contain_rb,CDFacre_rb,Otherac_rb,Totalac_rb,Veg_rb,Destroyed,Inci_rb,Forest_rb,Damaged,Civilian,Year,NLCD_11,NLCD_21,NLCD_22,NLCD_23,NLCD_24,NLCD_31,NLCD_41,NLCD_42,NLCD_43,NLCD_52,NLCD_71,NLCD_81,NLCD_82,NLCD_90,NLCD_95,NLCD_0,NLCD_12,WUI_area
0,1,CA,CCO,LAC,OCTOBER,00246393,2007-10-21,2007-10-23,14,NA,0,25.73670006,8,1,00233414,1902.439051,104152.7811,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3837,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,13.343692,1.111974,0,0,0,0,0,0,11.119743,0,0,0,0,0,0,0,8.78014
1,2,CA,CCO,LAC,MAGIC,00233077,2007-10-22,2007-10-25,14,NA,0,2824.879883,8,1,00233077,20407.96566,11431872.51,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3838,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,92.516264,30.245702,2.891133,0.222395,0.44479,0,4.892687,5.337477,1937.059288,743.688434,0,0.222395,3.113528,2.446344,0,0,1773.14555
3,5,CA,CCO,LAC,CORRAL,00259483,2007-11-24,2007-11-27,14,NA,0,4708,8,1,00259483,22907.18217,19052588.51,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3841,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,302.012229,33.581625,2.001554,0,0,0,213.721467,131.212971,3978.866557,20.905117,0,0,24.908225,0.44479,0,0,2555.20238
4,6,CA,CCO,LAC,GORMAN,00109398,2007-05-19,2007-05-22,14,NA,0,2373.840088,8,1,00109398,19693.20882,9606609.352,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3842,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,120.760413,12.676507,1.334369,0,13.343692,0,5.782267,0,1604.801357,611.363488,0,0,1.556764,0,0,0,3.38067
5,9,CA,CCO,LAC,SKYLINE,00183643,2007-08-21,2007-08-23,14,NA,0,95.41860199,8,1,00183643,3590.087163,386145.196,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3845,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,18.903564,0.44479,0,0,0,0,2.223949,12.454113,59.601824,1.111974,0,0,0,0,0,0,0.15356
6,11,CA,CCO,LAC,SOLEDAD,00233414,2007-10-22,2007-10-23,14,NA,0,44.1678009,8,1,00233414,2054.352312,178740.6207,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3847,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,9.11819,4.447897,2.001554,0,0,0,0,0,19.348353,9.562979,0,0,0,0,0,0,40.59493
7,12,CA,CCO,LAC,Y,00233912,2007-10-23,NA,14,NA,0,22.49169922,0,1,00233912,1661.025925,91020.79994,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3848,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,0,0,0,0,0,0,0,0,22.017092,0,0,0,0,0,0,0,22.49173
11,22,CA,CCO,LAC,PEARBLOSSOM,00080271,2007-04-12,2007-04-13,14,NA,77,77.80280304,8,1,00080271,5171.848182,314856.6501,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3858,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,0.667185,0,0,0,0,0,0,0,76.503834,0,0,0,0,0,0,0,61.78338
12,23,CA,CCO,LAC,ISLAND,00102481,2007-05-10,2007-05-17,14,NA,4750,4722.970215,8,1,00102481,30713.9037,19113165.55,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3859,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,8.895795,2.891133,0,0,0,0,13.566087,70.276778,4057.816735,566.66212,0,0,0,0,0,0,314.20643
13,24,CA,CCO,LAC,CANYON,00148415,2007-07-07,NA,14,NA,743,743.4799805,0,1,00148415,12308.86695,3008756.592,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3860,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,9.11819,16.45722,4.225502,0,0,0,0,0,606.248406,108.3063,0,0,0,0,0,0,315.18205
27,48,CA,CCO,VNC,SMALL HIGHWAY,00000000,2007-06-08,2007-06-08,10,"NPS by ground GPS, presumed cause = automobile, suppressed by VTA Co?",0,0.132266,1,1,00000002,113.1549028,535.2614878,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3884,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,0,0,0,0.222395,0,0,0,0,0,0,0,0,0,0,0,0,0.01795
28,50,CA,CCO,VNC,ROADSIDE,00000000,2007-04-30,2007-04-30,9,"VTACO prob suppress.  NPS map ground GPS, in threat zone, accuracy 10m",0,0.320583999,1,1,00000001,196.3234165,1297.357354,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3886,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,0,0.222395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32058
29,51,CA,CCO,VNC,DEER RIDGE,00000239,2007-04-01,2007-04-01,9,"By NPS LE (ground GPS?), presumed accuracy 30m. cause unkn, presumed human",0.3,0.308961987,7,1,00000239,125.5071618,1250.323002,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3887,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,0.222395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09471
30,54,CA,CCO,ORC,PIONEER,00000000,2007-05-26,NA,8,NA,0,0.338818014,0,1,00034237,192.416167,1371.148029,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3890,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,0,0,0,0,0,0,0,0,0.222395,0,0,0,0,0,0,0,0.33882
31,56,CA,CCO,ORC,ANTONIO,00000000,2007-06-25,NA,11,NA,0,0.879535973,0,1,07040974,238.5724713,3559.355266,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3892,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,0,0,0,0,0,0,0,0,0.889579,0,0,0,0,0,0,0,0.87954
32,57,CA,CCO,ORC,FREEWAY INCIDENT,00000000,2007-09-18,NA,8,NA,0,2.454629898,0,1,00060896,763.7087994,9933.517481,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3893,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,2007,0,1.779159,0.889579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45463
